审核任务ID,标准平台ID,酒店ID,入住日期,离店日期,独立会话序号,匹配运行记录数,实际日期集合,最新采集状态,房型数量,售卖方案数量,匹配运行ID,原始页面留档路径,日期口径状态,证据状态,独立会话证据状态,生成批次ID
27b7fd72d85264981f026daf324f2945851995b84f64e365d96ba0e2e3862dd3,agoda,ChIJi-YG88We4jARAkpfrYgaG-A,2026-09-07,2026-09-08,1,2,2026-09-07/2026-09-08；2026-09-18/2026-09-19,页面未解析到房型,0,0,7bdb3392d124eac88e341b70,[LOCAL_HOME]/Desktop/Thailand---泰国/05_GoogleMaps曼谷酒店专用/04_平台详情/原始页面留档/agoda/a83c70e4884236ed8a7d5cf6.html.gz,通过,已留档,已匹配独立运行,20260904-093453-csv-761aec95
e3e67f60d18e5e2c50caf5a873a73e0d53db41803b86aae3375accfd09e8ca2e,agoda,ChIJi-YG88We4jARAkpfrYgaG-A,2026-09-07,2026-09-08,2,2,2026-09-07/2026-09-08；2026-09-18/2026-09-19,页面未解析到房型,0,0,32cf3a26267b6b25cf9109a8,[LOCAL_HOME]/Desktop/Thailand---泰国/05_GoogleMaps曼谷酒店专用/04_平台详情/原始页面留档/agoda/7b37a94a0a71e21505992f14.html.gz,通过,已留档,已匹配独立运行,20260904-093453-csv-761aec95
f129d019fc184aaa558700f1c97ef77e8046b701a13d6132bcaf42c6adc359a6,agoda,ChIJi-YG88We4jARAkpfrYgaG-A,2026-09-18,2026-09-19,1,2,2026-09-07/2026-09-08；2026-09-18/2026-09-19,页面未解析到房型,0,0,c6be8617ddc1215940a3df0f,[LOCAL_HOME]/Desktop/Thailand---泰国/05_GoogleMaps曼谷酒店专用/04_平台详情/原始页面留档/agoda/51537f60fd81ec0358e6d427.html.gz,通过,已留档,已匹配独立运行,20260904-093453-csv-761aec95
97268f301275d660ab8cd15df914d46cf1904e767b4a0568460c9d1e2cd54e7a,agoda,ChIJi-YG88We4jARAkpfrYgaG-A,2026-09-18,2026-09-19,2,2,2026-09-07/2026-09-08；2026-09-18/2026-09-19,页面未解析到房型,0,0,87337596388609bf983250f6,[LOCAL_HOME]/Desktop/Thailand---泰国/05_GoogleMaps曼谷酒店专用/04_平台详情/原始页面留档/agoda/2fd0d103ed279fbc2abac0dd.html.gz,通过,已留档,已匹配独立运行,20260904-093453-csv-761aec95
80c0aae599bcb993c0ba20645893df3b9f881a2e2911aab78776a2bff6c937ff,agoda,ChIJcf_j1C-Z4jARfDy3FlDr-Wc,2026-09-07,2026-09-08,1,2,2026-09-07/2026-09-08；2026-09-18/2026-09-19,页面未解析到房型,0,0,ea05db8a4a19da728fb239e8,[LOCAL_HOME]/Desktop/Thailand---泰国/05_GoogleMaps曼谷酒店专用/04_平台详情/原始页面留档/agoda/735cd265c6057c491376fef3.html.gz,通过,已留档,已匹配独立运行,20260904-093453-csv-761aec95
5d664b62a9b8bbe1dc437b0eec33871c95ce9a0f03643f1811a4b6518f740817,agoda,ChIJcf_j1C-Z4jARfDy3FlDr-Wc,2026-09-07,2026-09-08,2,2,2026-09-07/2026-09-08；2026-09-18/2026-09-19,页面未解析到房型,0,0,3488546d20066825b17ca63c,[LOCAL_HOME]/Desktop/Thailand---泰国/05_GoogleMaps曼谷酒店专用/04_平台详情/原始页面留档/agoda/f05f508c8b72277644548fc6.html.gz,通过,已留档,已匹配独立运行,20260904-093453-csv-761aec95
8790094384eaef00b1b3a2be95197b86bfd1ca685977c927ddb4ee525d693d2a,agoda,ChIJcf_j1C-Z4jARfDy3FlDr-Wc,2026-09-18,2026-09-19,1,2,2026-09-07/2026-09-08；2026-09-18/2026-09-19,页面未解析到房型,0,0,7c9dc02e83f027f61f965f6a,[LOCAL_HOME]/Desktop/Thailand---泰国/05_GoogleMaps曼谷酒店专用/04_平台详情/原始页面留档/agoda/93429aa0500fe6802be0d52d.html.gz,通过,已留档,已匹配独立运行,20260904-093453-csv-761aec95
a3a0774da128327fa50b991e49e879eed7827cc4226d77c0548b1752b0f8c34f,agoda,ChIJcf_j1C-Z4jARfDy3FlDr-Wc,2026-09-18,2026-09-19,2,2,2026-09-07/2026-09-08；2026-09-18/2026-09-19,页面未解析到房型,0,0,db63043757604bbee3cd8f77,[LOCAL_HOME]/Desktop/Thailand---泰国/05_GoogleMaps曼谷酒店专用/04_平台详情/原始页面留档/agoda/96c7e274a6a86bfcd4f423ab.html.gz,通过,已留档,已匹配独立运行,20260904-093453-csv-761aec95
c6ae4a4def72a172b2a26501b646575f11ed795ed0fae170de1fcd6df8de00bd,booking,ChIJLxrEcMie4jARb4KfjpcicvA,2026-09-07,2026-09-08,1,2,2026-09-07/2026-09-08；2026-09-18/2026-09-19,页面未解析到房型,0,0,1434ebff63b93e02e970f5e7,[LOCAL_HOME]/Desktop/Thailand---泰国/05_GoogleMaps曼谷酒店专用/04_平台详情/原始页面留档/booking/200b8516796788ffbf4c31ca.html.gz,通过,已留档,已匹配独立运行,20260904-093453-csv-761aec95
3039196b1279f935f070c5dc73d401cb35f5756cb572ae6dd8d016a8eb094fa8,booking,ChIJLxrEcMie4jARb4KfjpcicvA,2026-09-07,2026-09-08,2,2,2026-09-07/2026-09-08；2026-09-18/2026-09-19,页面未解析到房型,0,0,e7bf2ffb2065d430cef41c64,[LOCAL_HOME]/Desktop/Thailand---泰国/05_GoogleMaps曼谷酒店专用/04_平台详情/原始页面留档/booking/d82b3dce60e3ea4e447efe31.html.gz,通过,已留档,已匹配独立运行,20260904-093453-csv-761aec95
