采集任务ID,酒店ID,酒店名称,热度等级,标准平台ID,平台名称,原始平台名称,是否官网,平台酒店ID,详情URL模板,入住日期,离店日期,间夜数,成人数,儿童数,房间数,币种,POS,语言,采集通道,采集优先级,刷新周期小时,模板口径状态,模板口径问题,任务状态,不可执行原因,生成批次ID,任务哈希
task_62a1f2334b7e5d7d663c373c,ChIJ-6FuuG6Z4jARsMd39e0lG4w,Casa Nithra,S,agoda,Agoda,Agoda,否,546985,https://www.agoda.com/partners/partnersearch.aspx?site_id=1917614&CkInDay={checkin_day}&CkInMonth={checkin_month}&CkInYear={checkin_year}&CkOutDay={checkout_day}&campaignid=&CkOutMonth={checkout_month}&CkOutYear={checkout_year}&SearchDateType=default&NumberOfAdults=2&LT=31&NumberOfChildren=0&childages=&NumberOfRooms=1&gsite=mapresults&los={nights}&PartnerCurrency=THB&hid=546985&RoomID=&masterRoomId=3139549&PriceTotal=47.12&PriceTax=7.09&PriceFee=4.00&RatePlan=&UserCountry=US&Currency=USD&UserDevice=desktop&Verif=false&rr=US&audience_list=&mcid=332&booking_source=cpc&adType=0&mpt=UDVSWFBJamZKYVBlMEdUWmFPK00wV2RxZ1IzN2pqajZydUlFdTlieTZ0eXpJRWpHNDd2WENNb3A5N3E3K0k1YVpGZlZHU3dtL3diag&original_rr=US&gaClickSrc=&clickType=hotel&lang=en&pkgId=,2026-09-08,2026-09-09,1,2,0,1,THB,TH,en,precision,first,6,通过,执行时将币种参数规范化为THB；执行时将POS参数规范化为TH；存在易失参数，仅用于本次跳转，不作为身份稳定性依据:mpt,待补身份,平台身份卡尚未同时通过平台酒店ID、日期模板和可达性检查,20260907-003922-csv-f52bd5d0,62a1f2334b7e5d7d663c373cb854f1e1dbcef821def1846ad64d92969551050a
task_6121cdc6180355c12ee2ee4a,ChIJ-6FuuG6Z4jARsMd39e0lG4w,Casa Nithra,S,agoda,Agoda,Agoda,否,546985,https://www.agoda.com/partners/partnersearch.aspx?site_id=1917614&CkInDay={checkin_day}&CkInMonth={checkin_month}&CkInYear={checkin_year}&CkOutDay={checkout_day}&campaignid=&CkOutMonth={checkout_month}&CkOutYear={checkout_year}&SearchDateType=default&NumberOfAdults=2&LT=31&NumberOfChildren=0&childages=&NumberOfRooms=1&gsite=mapresults&los={nights}&PartnerCurrency=THB&hid=546985&RoomID=&masterRoomId=3139549&PriceTotal=47.12&PriceTax=7.09&PriceFee=4.00&RatePlan=&UserCountry=US&Currency=USD&UserDevice=desktop&Verif=false&rr=US&audience_list=&mcid=332&booking_source=cpc&adType=0&mpt=UDVSWFBJamZKYVBlMEdUWmFPK00wV2RxZ1IzN2pqajZydUlFdTlieTZ0eXpJRWpHNDd2WENNb3A5N3E3K0k1YVpGZlZHU3dtL3diag&original_rr=US&gaClickSrc=&clickType=hotel&lang=en&pkgId=,2026-09-10,2026-09-11,1,2,0,1,THB,TH,en,precision,first,6,通过,执行时将币种参数规范化为THB；执行时将POS参数规范化为TH；存在易失参数，仅用于本次跳转，不作为身份稳定性依据:mpt,待补身份,平台身份卡尚未同时通过平台酒店ID、日期模板和可达性检查,20260907-003922-csv-f52bd5d0,6121cdc6180355c12ee2ee4a268e811c5ead26c3da3365b2a28aeef119144b90
task_fda1d1f056b3619bf670efe3,ChIJ-6FuuG6Z4jARsMd39e0lG4w,Casa Nithra,S,agoda,Agoda,Agoda,否,546985,https://www.agoda.com/partners/partnersearch.aspx?site_id=1917614&CkInDay={checkin_day}&CkInMonth={checkin_month}&CkInYear={checkin_year}&CkOutDay={checkout_day}&campaignid=&CkOutMonth={checkout_month}&CkOutYear={checkout_year}&SearchDateType=default&NumberOfAdults=2&LT=31&NumberOfChildren=0&childages=&NumberOfRooms=1&gsite=mapresults&los={nights}&PartnerCurrency=THB&hid=546985&RoomID=&masterRoomId=3139549&PriceTotal=47.12&PriceTax=7.09&PriceFee=4.00&RatePlan=&UserCountry=US&Currency=USD&UserDevice=desktop&Verif=false&rr=US&audience_list=&mcid=332&booking_source=cpc&adType=0&mpt=UDVSWFBJamZKYVBlMEdUWmFPK00wV2RxZ1IzN2pqajZydUlFdTlieTZ0eXpJRWpHNDd2WENNb3A5N3E3K0k1YVpGZlZHU3dtL3diag&original_rr=US&gaClickSrc=&clickType=hotel&lang=en&pkgId=,2026-09-14,2026-09-15,1,2,0,1,THB,TH,en,precision,first,6,通过,执行时将币种参数规范化为THB；执行时将POS参数规范化为TH；存在易失参数，仅用于本次跳转，不作为身份稳定性依据:mpt,待补身份,平台身份卡尚未同时通过平台酒店ID、日期模板和可达性检查,20260907-003922-csv-f52bd5d0,fda1d1f056b3619bf670efe331c50855cc528b93323b960e85d4265a78c32200
task_5646527ee92fd98130be3822,ChIJ-6FuuG6Z4jARsMd39e0lG4w,Casa Nithra,S,agoda,Agoda,Agoda,否,546985,https://www.agoda.com/partners/partnersearch.aspx?site_id=1917614&CkInDay={checkin_day}&CkInMonth={checkin_month}&CkInYear={checkin_year}&CkOutDay={checkout_day}&campaignid=&CkOutMonth={checkout_month}&CkOutYear={checkout_year}&SearchDateType=default&NumberOfAdults=2&LT=31&NumberOfChildren=0&childages=&NumberOfRooms=1&gsite=mapresults&los={nights}&PartnerCurrency=THB&hid=546985&RoomID=&masterRoomId=3139549&PriceTotal=47.12&PriceTax=7.09&PriceFee=4.00&RatePlan=&UserCountry=US&Currency=USD&UserDevice=desktop&Verif=false&rr=US&audience_list=&mcid=332&booking_source=cpc&adType=0&mpt=UDVSWFBJamZKYVBlMEdUWmFPK00wV2RxZ1IzN2pqajZydUlFdTlieTZ0eXpJRWpHNDd2WENNb3A5N3E3K0k1YVpGZlZHU3dtL3diag&original_rr=US&gaClickSrc=&clickType=hotel&lang=en&pkgId=,2026-09-21,2026-09-22,1,2,0,1,THB,TH,en,precision,first,6,通过,执行时将币种参数规范化为THB；执行时将POS参数规范化为TH；存在易失参数，仅用于本次跳转，不作为身份稳定性依据:mpt,待补身份,平台身份卡尚未同时通过平台酒店ID、日期模板和可达性检查,20260907-003922-csv-f52bd5d0,5646527ee92fd98130be3822cd4d8f3d224878a6acaebf6f4457a30127c9c069
task_5c7318c4d497ad10120b6d4d,ChIJ-6FuuG6Z4jARsMd39e0lG4w,Casa Nithra,S,agoda,Agoda,Agoda,否,546985,https://www.agoda.com/partners/partnersearch.aspx?site_id=1917614&CkInDay={checkin_day}&CkInMonth={checkin_month}&CkInYear={checkin_year}&CkOutDay={checkout_day}&campaignid=&CkOutMonth={checkout_month}&CkOutYear={checkout_year}&SearchDateType=default&NumberOfAdults=2&LT=31&NumberOfChildren=0&childages=&NumberOfRooms=1&gsite=mapresults&los={nights}&PartnerCurrency=THB&hid=546985&RoomID=&masterRoomId=3139549&PriceTotal=47.12&PriceTax=7.09&PriceFee=4.00&RatePlan=&UserCountry=US&Currency=USD&UserDevice=desktop&Verif=false&rr=US&audience_list=&mcid=332&booking_source=cpc&adType=0&mpt=UDVSWFBJamZKYVBlMEdUWmFPK00wV2RxZ1IzN2pqajZydUlFdTlieTZ0eXpJRWpHNDd2WENNb3A5N3E3K0k1YVpGZlZHU3dtL3diag&original_rr=US&gaClickSrc=&clickType=hotel&lang=en&pkgId=,2026-09-28,2026-09-29,1,2,0,1,THB,TH,en,precision,first,6,通过,执行时将币种参数规范化为THB；执行时将POS参数规范化为TH；存在易失参数，仅用于本次跳转，不作为身份稳定性依据:mpt,待补身份,平台身份卡尚未同时通过平台酒店ID、日期模板和可达性检查,20260907-003922-csv-f52bd5d0,5c7318c4d497ad10120b6d4d86172fcddbf7aba9ecfb2a32b65f5a6d5ad41290
task_071dc3002663e419e74bea97,ChIJ-6FuuG6Z4jARsMd39e0lG4w,Casa Nithra,S,agoda,Agoda,Agoda,否,546985,https://www.agoda.com/partners/partnersearch.aspx?site_id=1917614&CkInDay={checkin_day}&CkInMonth={checkin_month}&CkInYear={checkin_year}&CkOutDay={checkout_day}&campaignid=&CkOutMonth={checkout_month}&CkOutYear={checkout_year}&SearchDateType=default&NumberOfAdults=2&LT=31&NumberOfChildren=0&childages=&NumberOfRooms=1&gsite=mapresults&los={nights}&PartnerCurrency=THB&hid=546985&RoomID=&masterRoomId=3139549&PriceTotal=47.12&PriceTax=7.09&PriceFee=4.00&RatePlan=&UserCountry=US&Currency=USD&UserDevice=desktop&Verif=false&rr=US&audience_list=&mcid=332&booking_source=cpc&adType=0&mpt=UDVSWFBJamZKYVBlMEdUWmFPK00wV2RxZ1IzN2pqajZydUlFdTlieTZ0eXpJRWpHNDd2WENNb3A5N3E3K0k1YVpGZlZHU3dtL3diag&original_rr=US&gaClickSrc=&clickType=hotel&lang=en&pkgId=,2026-10-07,2026-10-08,1,2,0,1,THB,TH,en,precision,first,6,通过,执行时将币种参数规范化为THB；执行时将POS参数规范化为TH；存在易失参数，仅用于本次跳转，不作为身份稳定性依据:mpt,待补身份,平台身份卡尚未同时通过平台酒店ID、日期模板和可达性检查,20260907-003922-csv-f52bd5d0,071dc3002663e419e74bea97381cb0ba545fb12c08d877c3f6c25015e3d957f0
task_3e8af5156a61ce020d98f6f2,ChIJ-6FuuG6Z4jARsMd39e0lG4w,Casa Nithra,S,agoda,Agoda,Agoda,否,546985,https://www.agoda.com/partners/partnersearch.aspx?site_id=1917614&CkInDay={checkin_day}&CkInMonth={checkin_month}&CkInYear={checkin_year}&CkOutDay={checkout_day}&campaignid=&CkOutMonth={checkout_month}&CkOutYear={checkout_year}&SearchDateType=default&NumberOfAdults=2&LT=31&NumberOfChildren=0&childages=&NumberOfRooms=1&gsite=mapresults&los={nights}&PartnerCurrency=THB&hid=546985&RoomID=&masterRoomId=3139549&PriceTotal=47.12&PriceTax=7.09&PriceFee=4.00&RatePlan=&UserCountry=US&Currency=USD&UserDevice=desktop&Verif=false&rr=US&audience_list=&mcid=332&booking_source=cpc&adType=0&mpt=UDVSWFBJamZKYVBlMEdUWmFPK00wV2RxZ1IzN2pqajZydUlFdTlieTZ0eXpJRWpHNDd2WENNb3A5N3E3K0k1YVpGZlZHU3dtL3diag&original_rr=US&gaClickSrc=&clickType=hotel&lang=en&pkgId=,2026-10-22,2026-10-23,1,2,0,1,THB,TH,en,precision,first,6,通过,执行时将币种参数规范化为THB；执行时将POS参数规范化为TH；存在易失参数，仅用于本次跳转，不作为身份稳定性依据:mpt,待补身份,平台身份卡尚未同时通过平台酒店ID、日期模板和可达性检查,20260907-003922-csv-f52bd5d0,3e8af5156a61ce020d98f6f2276acf6f41dec7ebc1cc7470ad275119ea116f75
task_16d833a9a827575fa8485634,ChIJ-6FuuG6Z4jARsMd39e0lG4w,Casa Nithra,S,agoda,Agoda,Agoda,否,546985,https://www.agoda.com/partners/partnersearch.aspx?site_id=1917614&CkInDay={checkin_day}&CkInMonth={checkin_month}&CkInYear={checkin_year}&CkOutDay={checkout_day}&campaignid=&CkOutMonth={checkout_month}&CkOutYear={checkout_year}&SearchDateType=default&NumberOfAdults=2&LT=31&NumberOfChildren=0&childages=&NumberOfRooms=1&gsite=mapresults&los={nights}&PartnerCurrency=THB&hid=546985&RoomID=&masterRoomId=3139549&PriceTotal=47.12&PriceTax=7.09&PriceFee=4.00&RatePlan=&UserCountry=US&Currency=USD&UserDevice=desktop&Verif=false&rr=US&audience_list=&mcid=332&booking_source=cpc&adType=0&mpt=UDVSWFBJamZKYVBlMEdUWmFPK00wV2RxZ1IzN2pqajZydUlFdTlieTZ0eXpJRWpHNDd2WENNb3A5N3E3K0k1YVpGZlZHU3dtL3diag&original_rr=US&gaClickSrc=&clickType=hotel&lang=en&pkgId=,2026-11-06,2026-11-07,1,2,0,1,THB,TH,en,precision,first,6,通过,执行时将币种参数规范化为THB；执行时将POS参数规范化为TH；存在易失参数，仅用于本次跳转，不作为身份稳定性依据:mpt,待补身份,平台身份卡尚未同时通过平台酒店ID、日期模板和可达性检查,20260907-003922-csv-f52bd5d0,16d833a9a827575fa84856342e7990cedebcf637843317b30ea8156257e24b83
task_dea0fadaf23176f9bfced730,ChIJ-6FuuG6Z4jARsMd39e0lG4w,Casa Nithra,S,hotels,Hotels.com,Hotels.com,否,7811824,https://www.hotels.com/Hotel-Search?selected=7811824&startDate={checkin}&endDate={checkout}&mdpcid=HCOM-US.META.HPA.HOTEL-ORGANIC-desktop.HOTEL&MDPDTL=HTL.7811824.20261004.20261005.DDT.31.CID..AUDID.&adults=2&children=&mctc=10&mpf=40.72&mpg=USD&mpl=USD&mpj=7.25&mpr=4.09&rffrid=sem.hcom.US.156.024.mapresults.02.desktop-1.kwrd%3DGGMETA.7811824USen-20261004-D-ABW%3D31-camp%3D-aud%3D-N&rateplanid=395799802&mpm=24&mpn=200659843&mpo=EC&mpp=1&locale=en_US&siteid=300000001,2026-09-08,2026-09-09,1,2,0,1,THB,TH,en,precision,first,6,待适配,URL模板缺少可规范化的币种参数；URL模板缺少可规范化的POS参数,待补身份,平台身份卡尚未同时通过平台酒店ID、日期模板和可达性检查,20260907-003922-csv-f52bd5d0,dea0fadaf23176f9bfced7305b481f4e969ad16a517f0add36551435a12f42ea
task_6222dc7cba2627dfe6059ab9,ChIJ-6FuuG6Z4jARsMd39e0lG4w,Casa Nithra,S,hotels,Hotels.com,Hotels.com,否,7811824,https://www.hotels.com/Hotel-Search?selected=7811824&startDate={checkin}&endDate={checkout}&mdpcid=HCOM-US.META.HPA.HOTEL-ORGANIC-desktop.HOTEL&MDPDTL=HTL.7811824.20261004.20261005.DDT.31.CID..AUDID.&adults=2&children=&mctc=10&mpf=40.72&mpg=USD&mpl=USD&mpj=7.25&mpr=4.09&rffrid=sem.hcom.US.156.024.mapresults.02.desktop-1.kwrd%3DGGMETA.7811824USen-20261004-D-ABW%3D31-camp%3D-aud%3D-N&rateplanid=395799802&mpm=24&mpn=200659843&mpo=EC&mpp=1&locale=en_US&siteid=300000001,2026-09-10,2026-09-11,1,2,0,1,THB,TH,en,precision,first,6,待适配,URL模板缺少可规范化的币种参数；URL模板缺少可规范化的POS参数,待补身份,平台身份卡尚未同时通过平台酒店ID、日期模板和可达性检查,20260907-003922-csv-f52bd5d0,6222dc7cba2627dfe6059ab947f2679b3bea4033c7d9a8a22912a9d0d67b3387
