曼谷 · 携程景点采集,,
,,
"首批公开数据 · 非曼谷全量
本地景点、周边待核验、限时活动与体验合集分表保存。",,
,,
,,
核验指标,数量 / 比例,统计口径
已采列表页,10,  仅统计已成功解析并保存的实际分页。
原始列表卡片,100,  包含重复推荐；不是独立景点数。
去重发现记录,99,  按景点 POI_ID 去重。
曼谷本地景点/常设体验,60,  排除外府、待核验、限时活动与体验合集。
周边与待核验,12,  单独留存，不并入曼谷本地主表。
本地活动与合集,27,  发现数据保留，默认不补详情。
本地详情成功,60,  详情主体 ID 已通过核验。
本地评分覆盖,0.9833333333333333,  真实无评分留空；不是采集失败的同义词。
本地地址覆盖,1,  未提供的字段留空，不编造。
本地泰文名覆盖,0.8833333333333333,  只计页面实际提供的泰文名。
,,
,,
当前批次状态,batch_complete,
网页标称总数,3000 / 1万+（平台口径，非本批条数）,
最近保存时间（UTC）,2026-08-31 02:31:07,
公开列表来源,https://you.ctrip.com/sight/bangkok191.html,
数据范围,泰国 · 曼谷；景点目的地 ID=191；酒店 ID=359 不通用。,
复采与价格,JSON 可断点续采；Excel/CSV 为导出快照；售价、营业信息会变化。,
,,
"阅读提示：先看「本地景点」；按景点 ID 关联「价格快照」。
原字段、精确点评数、坐标系与来源 URL 均保留；详细规则见「字段说明」。
此数据不等于官方行政边界内的完整景点名录。",,
