审核任务ID,标准平台ID,酒店ID,入住日期,离店日期,独立会话序号,匹配运行记录数,实际日期集合,最新采集状态,房型数量,售卖方案数量,匹配运行ID,原始页面留档路径,日期口径状态,证据状态,独立会话证据状态,生成批次ID
9ac8a16255161c76994c713eebfcb60da506a8203c55c3151ac1364c9a81e653,agoda,ChIJi-YG88We4jARAkpfrYgaG-A,2026-09-08,2026-09-09,1,0,2026-09-07/2026-09-08；2026-09-18/2026-09-19,,,,,,日期漂移,待补证据,缺少独立运行记录,20260904-093453-csv-761aec95
c7caec04da12ffc964a7b114f9bb91b08a9fe9419f8d6d0a9164094a127b7a36,agoda,ChIJi-YG88We4jARAkpfrYgaG-A,2026-09-08,2026-09-09,2,0,2026-09-07/2026-09-08；2026-09-18/2026-09-19,,,,,,日期漂移,待补证据,缺少独立运行记录,20260904-093453-csv-761aec95
1a7a491f35028630abd5a4e3d07e02a460f4b8aeee34e384806e5a594a118c80,agoda,ChIJi-YG88We4jARAkpfrYgaG-A,2026-09-19,2026-09-20,1,0,2026-09-07/2026-09-08；2026-09-18/2026-09-19,,,,,,日期漂移,待补证据,缺少独立运行记录,20260904-093453-csv-761aec95
636135641e50b78aef8b876c774b5859943528dad8e63aa70c03c575f0ef9fa5,agoda,ChIJi-YG88We4jARAkpfrYgaG-A,2026-09-19,2026-09-20,2,0,2026-09-07/2026-09-08；2026-09-18/2026-09-19,,,,,,日期漂移,待补证据,缺少独立运行记录,20260904-093453-csv-761aec95
c61ff0d231cce812a600a9197998e245ef9136d5224211db8103f03fd7474076,agoda,ChIJcf_j1C-Z4jARfDy3FlDr-Wc,2026-09-08,2026-09-09,1,0,2026-09-07/2026-09-08；2026-09-18/2026-09-19,,,,,,日期漂移,待补证据,缺少独立运行记录,20260904-093453-csv-761aec95
495e7c5b103158b7876668298362e1420b3a3d02c6f0a932abaef255868d1119,agoda,ChIJcf_j1C-Z4jARfDy3FlDr-Wc,2026-09-08,2026-09-09,2,0,2026-09-07/2026-09-08；2026-09-18/2026-09-19,,,,,,日期漂移,待补证据,缺少独立运行记录,20260904-093453-csv-761aec95
e077da88d87154c07af9ebe97f1871ed9db11e1f300a34c9185438876c92448d,agoda,ChIJcf_j1C-Z4jARfDy3FlDr-Wc,2026-09-19,2026-09-20,1,0,2026-09-07/2026-09-08；2026-09-18/2026-09-19,,,,,,日期漂移,待补证据,缺少独立运行记录,20260904-093453-csv-761aec95
11fd681c2b3cb555f413db0456ffc985678d8404be7c26c8e448073eb7183efe,agoda,ChIJcf_j1C-Z4jARfDy3FlDr-Wc,2026-09-19,2026-09-20,2,0,2026-09-07/2026-09-08；2026-09-18/2026-09-19,,,,,,日期漂移,待补证据,缺少独立运行记录,20260904-093453-csv-761aec95
410c4d0011b6b263ceee407df13fe84a4ee56e6759dea2fddc862aa41859079f,booking,ChIJLxrEcMie4jARb4KfjpcicvA,2026-09-08,2026-09-09,1,0,2026-09-07/2026-09-08；2026-09-18/2026-09-19,,,,,,日期漂移,待补证据,缺少独立运行记录,20260904-093453-csv-761aec95
5f2b16fd0f8ecfbc26e86c5e792e94b83e6463b27ae5b556e3c3d2382d3d8bfa,booking,ChIJLxrEcMie4jARb4KfjpcicvA,2026-09-08,2026-09-09,2,0,2026-09-07/2026-09-08；2026-09-18/2026-09-19,,,,,,日期漂移,待补证据,缺少独立运行记录,20260904-093453-csv-761aec95
