采集任务ID,酒店ID,酒店名称,热度等级,标准平台ID,平台名称,原始平台名称,是否官网,平台酒店ID,详情URL模板,入住日期,离店日期,间夜数,成人数,儿童数,房间数,币种,POS,语言,采集通道,采集优先级,刷新周期小时,模板口径状态,模板口径问题,任务状态,不可执行原因,生成批次ID,任务哈希
task_237b976b01c990b277ff3f29,ChIJ-6FuuG6Z4jARsMd39e0lG4w,Casa Nithra,S,agoda,Agoda,Agoda,否,546985,https://www.agoda.com/partners/partnersearch.aspx?site_id=1917614&CkInDay={checkin_day}&CkInMonth={checkin_month}&CkInYear={checkin_year}&CkOutDay={checkout_day}&campaignid=&CkOutMonth={checkout_month}&CkOutYear={checkout_year}&SearchDateType=default&NumberOfAdults=2&LT=31&NumberOfChildren=0&childages=&NumberOfRooms=1&gsite=mapresults&los={nights}&PartnerCurrency=THB&hid=546985&RoomID=&masterRoomId=3139549&PriceTotal=47.12&PriceTax=7.09&PriceFee=4.00&RatePlan=&UserCountry=US&Currency=USD&UserDevice=desktop&Verif=false&rr=US&audience_list=&mcid=332&booking_source=cpc&adType=0&mpt=UDVSWFBJamZKYVBlMEdUWmFPK00wV2RxZ1IzN2pqajZydUlFdTlieTZ0eXpJRWpHNDd2WENNb3A5N3E3K0k1YVpGZlZHU3dtL3diag&original_rr=US&gaClickSrc=&clickType=hotel&lang=en&pkgId=,2026-09-06,2026-09-07,1,2,0,1,THB,TH,en,precision,first,6,通过,执行时将币种参数规范化为THB；执行时将POS参数规范化为TH；存在易失参数，仅用于本次跳转，不作为身份稳定性依据:mpt,待补身份,平台身份卡尚未同时通过平台酒店ID、日期模板和可达性检查,20260904-093453-csv-761aec95,237b976b01c990b277ff3f298d1c160a0a8a75e62c0da45d26d3f11bfdf76203
task_62a1f2334b7e5d7d663c373c,ChIJ-6FuuG6Z4jARsMd39e0lG4w,Casa Nithra,S,agoda,Agoda,Agoda,否,546985,https://www.agoda.com/partners/partnersearch.aspx?site_id=1917614&CkInDay={checkin_day}&CkInMonth={checkin_month}&CkInYear={checkin_year}&CkOutDay={checkout_day}&campaignid=&CkOutMonth={checkout_month}&CkOutYear={checkout_year}&SearchDateType=default&NumberOfAdults=2&LT=31&NumberOfChildren=0&childages=&NumberOfRooms=1&gsite=mapresults&los={nights}&PartnerCurrency=THB&hid=546985&RoomID=&masterRoomId=3139549&PriceTotal=47.12&PriceTax=7.09&PriceFee=4.00&RatePlan=&UserCountry=US&Currency=USD&UserDevice=desktop&Verif=false&rr=US&audience_list=&mcid=332&booking_source=cpc&adType=0&mpt=UDVSWFBJamZKYVBlMEdUWmFPK00wV2RxZ1IzN2pqajZydUlFdTlieTZ0eXpJRWpHNDd2WENNb3A5N3E3K0k1YVpGZlZHU3dtL3diag&original_rr=US&gaClickSrc=&clickType=hotel&lang=en&pkgId=,2026-09-08,2026-09-09,1,2,0,1,THB,TH,en,precision,first,6,通过,执行时将币种参数规范化为THB；执行时将POS参数规范化为TH；存在易失参数，仅用于本次跳转，不作为身份稳定性依据:mpt,待补身份,平台身份卡尚未同时通过平台酒店ID、日期模板和可达性检查,20260904-093453-csv-761aec95,62a1f2334b7e5d7d663c373cb854f1e1dbcef821def1846ad64d92969551050a
task_1739611aee96387c80e9f3b2,ChIJ-6FuuG6Z4jARsMd39e0lG4w,Casa Nithra,S,agoda,Agoda,Agoda,否,546985,https://www.agoda.com/partners/partnersearch.aspx?site_id=1917614&CkInDay={checkin_day}&CkInMonth={checkin_month}&CkInYear={checkin_year}&CkOutDay={checkout_day}&campaignid=&CkOutMonth={checkout_month}&CkOutYear={checkout_year}&SearchDateType=default&NumberOfAdults=2&LT=31&NumberOfChildren=0&childages=&NumberOfRooms=1&gsite=mapresults&los={nights}&PartnerCurrency=THB&hid=546985&RoomID=&masterRoomId=3139549&PriceTotal=47.12&PriceTax=7.09&PriceFee=4.00&RatePlan=&UserCountry=US&Currency=USD&UserDevice=desktop&Verif=false&rr=US&audience_list=&mcid=332&booking_source=cpc&adType=0&mpt=UDVSWFBJamZKYVBlMEdUWmFPK00wV2RxZ1IzN2pqajZydUlFdTlieTZ0eXpJRWpHNDd2WENNb3A5N3E3K0k1YVpGZlZHU3dtL3diag&original_rr=US&gaClickSrc=&clickType=hotel&lang=en&pkgId=,2026-09-12,2026-09-13,1,2,0,1,THB,TH,en,precision,first,6,通过,执行时将币种参数规范化为THB；执行时将POS参数规范化为TH；存在易失参数，仅用于本次跳转，不作为身份稳定性依据:mpt,待补身份,平台身份卡尚未同时通过平台酒店ID、日期模板和可达性检查,20260904-093453-csv-761aec95,1739611aee96387c80e9f3b22bbff94ebcf15d40d03c94e34f955b6cf81cc4e9
task_d9f9a5f604739c9ec76d215b,ChIJ-6FuuG6Z4jARsMd39e0lG4w,Casa Nithra,S,agoda,Agoda,Agoda,否,546985,https://www.agoda.com/partners/partnersearch.aspx?site_id=1917614&CkInDay={checkin_day}&CkInMonth={checkin_month}&CkInYear={checkin_year}&CkOutDay={checkout_day}&campaignid=&CkOutMonth={checkout_month}&CkOutYear={checkout_year}&SearchDateType=default&NumberOfAdults=2&LT=31&NumberOfChildren=0&childages=&NumberOfRooms=1&gsite=mapresults&los={nights}&PartnerCurrency=THB&hid=546985&RoomID=&masterRoomId=3139549&PriceTotal=47.12&PriceTax=7.09&PriceFee=4.00&RatePlan=&UserCountry=US&Currency=USD&UserDevice=desktop&Verif=false&rr=US&audience_list=&mcid=332&booking_source=cpc&adType=0&mpt=UDVSWFBJamZKYVBlMEdUWmFPK00wV2RxZ1IzN2pqajZydUlFdTlieTZ0eXpJRWpHNDd2WENNb3A5N3E3K0k1YVpGZlZHU3dtL3diag&original_rr=US&gaClickSrc=&clickType=hotel&lang=en&pkgId=,2026-09-19,2026-09-20,1,2,0,1,THB,TH,en,precision,first,6,通过,执行时将币种参数规范化为THB；执行时将POS参数规范化为TH；存在易失参数，仅用于本次跳转，不作为身份稳定性依据:mpt,待补身份,平台身份卡尚未同时通过平台酒店ID、日期模板和可达性检查,20260904-093453-csv-761aec95,d9f9a5f604739c9ec76d215b1af41c634ec57684f34c7233b482cdafc2b2bdda
task_6c7a6540987e43d99d9e61d4,ChIJ-6FuuG6Z4jARsMd39e0lG4w,Casa Nithra,S,agoda,Agoda,Agoda,否,546985,https://www.agoda.com/partners/partnersearch.aspx?site_id=1917614&CkInDay={checkin_day}&CkInMonth={checkin_month}&CkInYear={checkin_year}&CkOutDay={checkout_day}&campaignid=&CkOutMonth={checkout_month}&CkOutYear={checkout_year}&SearchDateType=default&NumberOfAdults=2&LT=31&NumberOfChildren=0&childages=&NumberOfRooms=1&gsite=mapresults&los={nights}&PartnerCurrency=THB&hid=546985&RoomID=&masterRoomId=3139549&PriceTotal=47.12&PriceTax=7.09&PriceFee=4.00&RatePlan=&UserCountry=US&Currency=USD&UserDevice=desktop&Verif=false&rr=US&audience_list=&mcid=332&booking_source=cpc&adType=0&mpt=UDVSWFBJamZKYVBlMEdUWmFPK00wV2RxZ1IzN2pqajZydUlFdTlieTZ0eXpJRWpHNDd2WENNb3A5N3E3K0k1YVpGZlZHU3dtL3diag&original_rr=US&gaClickSrc=&clickType=hotel&lang=en&pkgId=,2026-09-26,2026-09-27,1,2,0,1,THB,TH,en,precision,first,6,通过,执行时将币种参数规范化为THB；执行时将POS参数规范化为TH；存在易失参数，仅用于本次跳转，不作为身份稳定性依据:mpt,待补身份,平台身份卡尚未同时通过平台酒店ID、日期模板和可达性检查,20260904-093453-csv-761aec95,6c7a6540987e43d99d9e61d450158699e9cf00527479ce8a6743653960ffc730
task_c2d28a1243c36cbf129fc9f8,ChIJ-6FuuG6Z4jARsMd39e0lG4w,Casa Nithra,S,agoda,Agoda,Agoda,否,546985,https://www.agoda.com/partners/partnersearch.aspx?site_id=1917614&CkInDay={checkin_day}&CkInMonth={checkin_month}&CkInYear={checkin_year}&CkOutDay={checkout_day}&campaignid=&CkOutMonth={checkout_month}&CkOutYear={checkout_year}&SearchDateType=default&NumberOfAdults=2&LT=31&NumberOfChildren=0&childages=&NumberOfRooms=1&gsite=mapresults&los={nights}&PartnerCurrency=THB&hid=546985&RoomID=&masterRoomId=3139549&PriceTotal=47.12&PriceTax=7.09&PriceFee=4.00&RatePlan=&UserCountry=US&Currency=USD&UserDevice=desktop&Verif=false&rr=US&audience_list=&mcid=332&booking_source=cpc&adType=0&mpt=UDVSWFBJamZKYVBlMEdUWmFPK00wV2RxZ1IzN2pqajZydUlFdTlieTZ0eXpJRWpHNDd2WENNb3A5N3E3K0k1YVpGZlZHU3dtL3diag&original_rr=US&gaClickSrc=&clickType=hotel&lang=en&pkgId=,2026-10-05,2026-10-06,1,2,0,1,THB,TH,en,precision,first,6,通过,执行时将币种参数规范化为THB；执行时将POS参数规范化为TH；存在易失参数，仅用于本次跳转，不作为身份稳定性依据:mpt,待补身份,平台身份卡尚未同时通过平台酒店ID、日期模板和可达性检查,20260904-093453-csv-761aec95,c2d28a1243c36cbf129fc9f8d28ef973087441b30fa3ce122b2b82f8c72ce13c
task_1cb1d626073df0ff04ba40c7,ChIJ-6FuuG6Z4jARsMd39e0lG4w,Casa Nithra,S,agoda,Agoda,Agoda,否,546985,https://www.agoda.com/partners/partnersearch.aspx?site_id=1917614&CkInDay={checkin_day}&CkInMonth={checkin_month}&CkInYear={checkin_year}&CkOutDay={checkout_day}&campaignid=&CkOutMonth={checkout_month}&CkOutYear={checkout_year}&SearchDateType=default&NumberOfAdults=2&LT=31&NumberOfChildren=0&childages=&NumberOfRooms=1&gsite=mapresults&los={nights}&PartnerCurrency=THB&hid=546985&RoomID=&masterRoomId=3139549&PriceTotal=47.12&PriceTax=7.09&PriceFee=4.00&RatePlan=&UserCountry=US&Currency=USD&UserDevice=desktop&Verif=false&rr=US&audience_list=&mcid=332&booking_source=cpc&adType=0&mpt=UDVSWFBJamZKYVBlMEdUWmFPK00wV2RxZ1IzN2pqajZydUlFdTlieTZ0eXpJRWpHNDd2WENNb3A5N3E3K0k1YVpGZlZHU3dtL3diag&original_rr=US&gaClickSrc=&clickType=hotel&lang=en&pkgId=,2026-10-20,2026-10-21,1,2,0,1,THB,TH,en,precision,first,6,通过,执行时将币种参数规范化为THB；执行时将POS参数规范化为TH；存在易失参数，仅用于本次跳转，不作为身份稳定性依据:mpt,待补身份,平台身份卡尚未同时通过平台酒店ID、日期模板和可达性检查,20260904-093453-csv-761aec95,1cb1d626073df0ff04ba40c77cf0b95804f90c699fbb3b80e267e0713e68c617
task_a54284f97c93364560210440,ChIJ-6FuuG6Z4jARsMd39e0lG4w,Casa Nithra,S,agoda,Agoda,Agoda,否,546985,https://www.agoda.com/partners/partnersearch.aspx?site_id=1917614&CkInDay={checkin_day}&CkInMonth={checkin_month}&CkInYear={checkin_year}&CkOutDay={checkout_day}&campaignid=&CkOutMonth={checkout_month}&CkOutYear={checkout_year}&SearchDateType=default&NumberOfAdults=2&LT=31&NumberOfChildren=0&childages=&NumberOfRooms=1&gsite=mapresults&los={nights}&PartnerCurrency=THB&hid=546985&RoomID=&masterRoomId=3139549&PriceTotal=47.12&PriceTax=7.09&PriceFee=4.00&RatePlan=&UserCountry=US&Currency=USD&UserDevice=desktop&Verif=false&rr=US&audience_list=&mcid=332&booking_source=cpc&adType=0&mpt=UDVSWFBJamZKYVBlMEdUWmFPK00wV2RxZ1IzN2pqajZydUlFdTlieTZ0eXpJRWpHNDd2WENNb3A5N3E3K0k1YVpGZlZHU3dtL3diag&original_rr=US&gaClickSrc=&clickType=hotel&lang=en&pkgId=,2026-11-04,2026-11-05,1,2,0,1,THB,TH,en,precision,first,6,通过,执行时将币种参数规范化为THB；执行时将POS参数规范化为TH；存在易失参数，仅用于本次跳转，不作为身份稳定性依据:mpt,待补身份,平台身份卡尚未同时通过平台酒店ID、日期模板和可达性检查,20260904-093453-csv-761aec95,a54284f97c93364560210440f41a78a4877d9fab9b90376abff946571100d6f4
task_02a792555115f5c5b007af51,ChIJ-6FuuG6Z4jARsMd39e0lG4w,Casa Nithra,S,hotels,Hotels.com,Hotels.com,否,7811824,https://www.hotels.com/Hotel-Search?selected=7811824&startDate={checkin}&endDate={checkout}&mdpcid=HCOM-US.META.HPA.HOTEL-ORGANIC-desktop.HOTEL&MDPDTL=HTL.7811824.20261004.20261005.DDT.31.CID..AUDID.&adults=2&children=&mctc=10&mpf=40.72&mpg=USD&mpl=USD&mpj=7.25&mpr=4.09&rffrid=sem.hcom.US.156.024.mapresults.02.desktop-1.kwrd%3DGGMETA.7811824USen-20261004-D-ABW%3D31-camp%3D-aud%3D-N&rateplanid=395799802&mpm=24&mpn=200659843&mpo=EC&mpp=1&locale=en_US&siteid=300000001,2026-09-06,2026-09-07,1,2,0,1,THB,TH,en,precision,first,6,待适配,URL模板缺少可规范化的币种参数；URL模板缺少可规范化的POS参数,待补身份,平台身份卡尚未同时通过平台酒店ID、日期模板和可达性检查,20260904-093453-csv-761aec95,02a792555115f5c5b007af515528e78bdb1923228998a965c3176301fae8966b
task_dea0fadaf23176f9bfced730,ChIJ-6FuuG6Z4jARsMd39e0lG4w,Casa Nithra,S,hotels,Hotels.com,Hotels.com,否,7811824,https://www.hotels.com/Hotel-Search?selected=7811824&startDate={checkin}&endDate={checkout}&mdpcid=HCOM-US.META.HPA.HOTEL-ORGANIC-desktop.HOTEL&MDPDTL=HTL.7811824.20261004.20261005.DDT.31.CID..AUDID.&adults=2&children=&mctc=10&mpf=40.72&mpg=USD&mpl=USD&mpj=7.25&mpr=4.09&rffrid=sem.hcom.US.156.024.mapresults.02.desktop-1.kwrd%3DGGMETA.7811824USen-20261004-D-ABW%3D31-camp%3D-aud%3D-N&rateplanid=395799802&mpm=24&mpn=200659843&mpo=EC&mpp=1&locale=en_US&siteid=300000001,2026-09-08,2026-09-09,1,2,0,1,THB,TH,en,precision,first,6,待适配,URL模板缺少可规范化的币种参数；URL模板缺少可规范化的POS参数,待补身份,平台身份卡尚未同时通过平台酒店ID、日期模板和可达性检查,20260904-093453-csv-761aec95,dea0fadaf23176f9bfced7305b481f4e969ad16a517f0add36551435a12f42ea
